cl_id,channel_type,cl_id,PERIOD_count,sum_POS,sum_IN,sum_OUT,sum_CAT,sum_amount,sum_Розничные магазины,sum_Поставщик услуг,sum_Различные магазины,sum_Развлечения,sum_Магазины одежды,sum_Транспорт,sum_Бизнес услуги,sum_Государственные услуги,sum_Личные услуги,sum_Коммунальные и кабельные услуги,sum_Отели и мотели,sum_Профессиональные услуги,sum_Автомобили и транспортные средства,sum_Ремонтные услуги,sum_Аренда автомобилей,sum_Продажи по почте/телефону,sum_Оптовые поставщики и производители,"sum_Авиалинии, авиакомпании",sum_Членские организации,sum_Контрактные услуги,multi_currency,mode_MCC,num_days_in_use,target_flag,target_sum,ostatok
25,type0,25,3,11400.0,125000.0,302794.5,0.0,439194.5,2134.0,427794.5,3466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,4,56,1,144.61,-189194.5
28,type0,28,4,94888.49,2500.0,71100.0,0.0,168488.49000000002,46809.94999999999,73600.0,22646.0,780.0,7606.01,0.0,0.0,0.0,0.0,400.0,0.0,11147.0,5499.530000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,18,85,1,70713.04,-163488.49
29,type0,29,4,161596.98,149500.0,23000.0,0.0,334096.9799999999,73059.28,172500.0,12503.2,0.0,16180.5,46675.0,0.0,0.0,0.0,5509.0,0.0,7300.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,65,90,1,38603.17,-35096.98000000001
31,type0,31,4,393067.76000000007,9900.0,46900.0,0.0,449867.76000000007,48202.899999999994,56800.0,42071.24,7900.0,96543.0,26467.8,0.0,0.0,6600.0,21610.82,0.0,143672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,16,88,1,342520.0,-430067.76000000007
32,type0,32,4,136963.0,48000.0,48000.0,0.0,232962.99999999997,26118.880000000005,100100.0,40007.92,740.0,59057.0,4000.0,0.0,0.0,688.2,0.0,0.0,2200.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,37,92,1,277634.9,-136963.0
35,type0,35,4,316580.1442360001,300.0,129965.0,0.0,446845.1442360001,71781.69225999998,133550.676,97268.315391,17320.0,55462.69,8574.3,1137.0,0.0,4876.0,5800.0,15487.644584999998,3071.676,24788.579999999998,5480.0,0.0,2246.57,0.0,0.0,0.0,0.0,multi + rub,50,92,1,326211.75,-446245.1442360001
38,type0,38,4,243808.0,43000.0,10000.0,0.0,296808.0,558.0,53000.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242400.0,0.0,0.0,rub,3,85,0,0.0,-210808.0
39,type0,39,4,315516.59606499993,347291.54000000004,47869.27,0.0,710677.4060650001,13969.113604,388638.81,150817.6,10000.0,55631.142460999996,0.0,0.0,0.0,2440.0,0.0,43405.0,0.0,39525.74,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,16,83,0,0.0,-16094.326064999914
41,type0,41,4,185920.53629999995,212000.0,2800.0,0.0,400720.53630000015,67425.23,217470.0,47701.5,250.0,5313.7,9035.1063,0.0,0.0,11602.0,12500.0,6460.0,21907.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,37,90,1,37829.57,23279.46370000005
42,type0,42,4,244584.9,144500.0,288900.0,0.0,677984.9,152796.97999999998,433400.0,68595.73,0.0,17382.0,0.0,0.0,0.0,0.0,898.0,0.0,0.0,4912.1900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,80,92,0,0.0,-388984.9
46,type0,46,3,217559.47999999998,217000.0,10000.0,0.0,444559.48000000004,29608.850000000002,227000.0,18915.93,0.0,1799.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,166735.69999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,45,76,0,0.0,-10559.479999999981
48,type0,48,4,194836.54999999996,194200.0,11000.0,45250.0,445286.55000000005,29536.23,250450.0,63737.52,400.0,31001.8,70161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,44,91,1,118469.01,-11636.54999999996
49,type0,49,3,186225.94,135000.0,0.0,600.0,321825.93999999994,45367.119999999995,135000.0,49243.9,0.0,39421.0,35360.0,1000.0,595.0,1000.0,600.0,0.0,8030.0,6208.919999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,14,88,0,0.0,-51225.94
50,type5,50,3,179228.955631,130890.0,0.0,0.0,310118.955631,24605.6,130890.0,63705.0,1400.0,36163.0,2255.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43600.355631,0.0,0.0,0.0,0.0,0.0,multi + rub,13,83,1,74592.37,-48338.95563099999
52,type5,52,4,276643.5,238035.96000000002,0.0,0.0,514679.46,243.5,238035.96000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,9,91,0,0.0,-38607.53999999998
54,type5,54,3,91698.15999999996,83591.0,0.0,0.0,175289.15999999995,47735.64000000001,90160.84,10306.25,0.0,4149.7,200.0,0.0,0.0,0.0,0.0,0.0,2300.0,16826.73,3610.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,70,72,0,0.0,-8107.15999999996
55,type5,55,4,272124.82,80328.0,0.0,0.0,352452.82,109194.81,80328.0,77209.01,670.0,24616.0,5100.0,0.0,0.0,11590.0,0.0,0.0,43745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,49,88,0,0.0,-191796.82
58,type5,58,4,149217.74999999997,160440.0,0.0,0.0,309657.75,34742.1,160000.0,65232.50999999998,14220.0,10815.0,4600.0,0.0,0.0,0.0,510.0,0.0,0.0,18828.140000000003,0.0,0.0,0.0,710.0,0.0,0.0,0.0,multi + rub,39,92,1,20470.23,11222.25000000003
59,type5,59,1,92474.09,140000.0,16349.5,0.0,248823.59,14603.59,156349.5,62010.5,0.0,13860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,6,19,0,0.0,31176.410000000003
61,type5,61,4,123949.86000000002,253844.0,10000.0,0.0,387793.86,58181.799999999996,262000.0,52835.479999999996,0.0,499.0,2280.0,300.0,0.0,0.0,450.0,0.0,0.0,11247.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,64,90,1,298403.49,119894.13999999998
63,type5,63,1,419.0,12000.0,0.0,0.0,12419.0,0.0,12000.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,2,7,0,0.0,11581.0
68,type5,68,1,30648.618000000002,0.0,0.0,0.0,30648.618000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30648.618000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi,1,0,0,0.0,-30648.618000000002
69,type5,69,4,36191.03999999999,177500.0,0.0,141900.0,355591.04000000004,1857.0,336053.22,8980.82,0.0,0.0,0.0,0.0,0.0,8700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,19,71,0,0.0,141308.96000000002
73,type5,73,4,52724.63,268000.0,48000.0,238200.0,606924.6300000001,10796.39,545700.0,39309.35,0.0,755.0,534.0,0.0,0.0,0.0,8829.74,0.0,0.0,1000.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,21,91,1,77.0,167275.37
74,type5,74,4,159134.84999999998,301750.0,33700.0,114000.0,608584.85,53090.130000000005,335450.0,61753.520000000004,1000.0,1205.0,0.0,0.0,0.0,0.0,133000.0,0.0,3950.0,19136.199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,50,83,1,108217.55,108915.15000000002
76,type5,76,2,5977.11,5000.0,0.0,0.0,10977.11,5612.929999999999,5000.0,364.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,10,28,0,0.0,-977.1099999999997
77,type5,77,4,164821.87999999998,345000.0,6000.0,0.0,515821.88000000006,60951.19,351000.0,44944.189999999995,19900.0,22813.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,14613.499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,17,90,1,116216.49,174178.12000000002
78,type5,78,4,307886.931076,235130.0,122556.217,0.0,665573.1480760002,25329.290436000003,359125.887,42476.530640000004,4880.0,26313.0,128107.42,0.0,0.0,0.0,9397.12,0.0,44622.0,1999.9,0.0,0.0,0.0,0.0,23322.0,0.0,0.0,multi + rub,21,95,1,104939.84,-195313.14807599998
79,type5,79,4,144769.37,236000.0,2000.0,283344.39,666113.76,22699.77,517344.39,42003.0,29830.0,196.0,47296.0,0.0,0.0,0.0,5322.0,0.0,0.0,1284.6,138.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,12,87,0,0.0,89230.63
81,type5,81,4,400731.37999999995,165880.0,185400.0,397508.0,1149519.3800000001,134343.71,748788.0,261860.15000000002,0.0,0.0,713.0,507.5,0.0,0.0,0.0,2340.0,0.0,231.9,150.0,0.0,585.12,0.0,0.0,0.0,0.0,rub,94,88,1,225603.28,-420251.3799999999
82,type5,82,5,124250.93999999999,264679.97000000003,262370.0,0.0,651300.9100000001,34261.58,527287.02,4306.8099999999995,0.0,8417.0,55963.490000000005,200.0,0.0,1500.0,6390.0,0.0,0.0,5975.01,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,31,103,0,0.0,-121940.96999999997
84,type5,84,4,226696.0,5981.0,230000.0,0.0,462677.0,118518.40999999999,235500.0,38240.95,1905.0,295.0,0.0,600.0,0.0,0.0,0.0,0.0,2350.0,65267.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,32,89,1,241352.56,-450715.0
85,type5,85,2,3391.9,4000.0,1500.0,0.0,8891.9,2642.9,5500.0,449.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,3,34,0,0.0,-891.8999999999996
88,type5,88,4,52713.759999999995,64190.0,175000.0,0.0,291903.76,21540.5,239100.0,17227.86,1100.0,4898.0,1400.0,0.0,0.0,0.0,0.0,0.0,1210.0,400.4,5027.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,66,88,1,70489.17,-163523.76
89,type5,89,4,156746.73,19199.379999999997,133700.0,78836.06999999999,388482.17999999993,62624.88,266137.75,33136.600000000006,1080.0,1400.0,200.0,0.0,0.0,0.0,14092.060000000001,0.0,827.0999999999999,5895.34,2874.0,0.0,214.45,0.0,0.0,0.0,0.0,rub,47,91,1,11830.87,-271247.35
90,type5,90,4,40389.87760000001,98200.0,7000.0,106515.0,252104.87759999995,8377.61,211715.0,27723.0676,640.0,0.0,1110.0,150.0,0.0,0.0,1200.0,0.0,0.0,1189.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,24,69,0,0.0,50810.12239999999
91,type5,91,4,247156.78,950000.0,60000.0,0.0,1257156.7800000003,31744.05,1010000.0,48443.60999999999,8397.0,55623.5,37824.8,2960.0,0.0,2600.0,7550.0,0.0,1600.0,7658.129999999999,0.0,42755.69,0.0,0.0,0.0,0.0,0.0,rub,12,89,1,248802.88,642843.22
93,type5,93,1,972.23,0.0,0.0,0.0,972.23,972.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,2,14,0,0.0,-972.23
94,type5,94,1,6129.0,0.0,0.0,0.0,6129.0,1341.0,0.0,275.0,0.0,0.0,4513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,1,4,1,133974.63,-6129.0
96,type5,96,4,273716.07112,5000.0,77600.0,0.0,356316.07112000004,40564.43540000001,82600.0,21489.5,13657.960052,2920.0,1700.0,0.0,0.0,26100.0,1499.0,141285.175668,24500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,34,92,1,92049.48,-346316.07112
98,type5,98,4,348723.11350000004,76518.75,292000.0,0.0,717241.8635000001,147478.6,401087.19,86128.1035,16200.0,17089.0,2100.0,1522.5,505.0,0.0,18041.0,0.0,1500.0,24290.469999999998,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,82,91,1,180482.96,-564204.3635
100,type5,100,4,196526.93082999997,0.0,653280.91,0.0,849807.84083,21908.312692000003,653280.91,23294.623598000002,0.0,2433.09304,123749.7,0.0,1107.9015,0.0,500.0,22533.33,0.0,999.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,26,90,1,133974.63,-849807.84083
103,type5,103,3,207963.73254400006,20000.0,15500.0,0.0,243463.7325440001,59024.44000000001,35500.0,37726.83,1030.0,56303.0,22175.8,6390.9400000000005,0.0,0.0,10529.45,0.0,0.0,14500.0,0.0,0.0,183.272544,100.0,0.0,0.0,0.0,multi + rub,79,82,0,0.0,-203463.73254400006
104,type5,104,2,27132.9,0.0,289665.6,0.0,316798.5,1193.0,289665.6,20680.0,3000.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,1999.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,5,27,1,3646.5,-316798.5
106,type5,106,2,5900.0,60000.0,0.0,0.0,65900.0,0.0,60000.0,0.0,0.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,5,33,1,66830.55,54100.0
107,type5,107,4,379589.52999999997,668000.0,0.0,0.0,1047589.5300000003,159157.40999999997,668000.0,86013.75,5220.0,92191.16,14933.7,1490.0,0.0,0.0,0.0,0.0,0.0,17383.51,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,rub,71,92,1,218683.94,288410.47000000003
108,type5,108,3,98985.59999999999,130500.0,47500.0,0.0,276985.60000000003,6609.83,178000.0,11939.68,300.0,0.0,4117.4,0.0,0.0,0.0,76018.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,13,88,1,91621.25,-15985.599999999977
109,type5,109,4,217918.77399999998,677391.0,2300.0,0.0,897609.7740000003,115952.3,677800.0,59570.72000000001,0.0,0.0,979.95,1140.0,5801.13,0.0,0.0,0.0,1350.0,12706.243999999999,16850.0,0.0,5459.43,0.0,0.0,0.0,0.0,multi + rub,101,91,1,446.48,457172.226
113,type5,113,3,18807.129399999998,0.0,177000.0,0.0,195807.1294,7890.6074,177000.0,363.0,0.0,9903.522,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,3,61,0,0.0,-195807.1294
114,type5,114,2,2336.75,1889.0,0.0,0.0,4225.75,0.0,1889.0,2336.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,1,68,0,0.0,-447.75
117,type5,117,4,98691.37999999999,103644.37,9500.0,0.0,211835.74999999997,38609.540000000015,112000.0,37316.16,3300.0,6690.0,0.0,0.0,0.0,0.0,400.0,0.0,4250.0,7336.1,0.0,0.0,1933.9499999999998,0.0,0.0,0.0,0.0,rub,32,87,1,295.0,-4547.009999999995
119,type5,119,4,130961.134,501147.0,88500.0,0.0,720608.1340000001,23569.7,587500.0,2241.0,18150.0,13918.0,0.0,0.0,26867.0,1850.0,0.0,37812.434,8700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,22,91,0,0.0,281685.866
122,type5,122,4,109441.756,123928.0,130000.0,67000.0,430369.75599999994,38690.15,319000.0,30881.65,3400.0,1799.0,24497.0,2478.746,1392.5,2450.0,0.0,0.0,0.0,5780.709999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,31,64,0,0.0,-115513.756
124,type5,124,4,412902.3880880001,125000.0,140000.0,0.0,677902.388088,108359.22179299999,265000.0,94656.220385,940.0,15771.0,71179.611551,13606.188992,0.0,800.0,1287.862399,5400.0,0.0,15111.522968000001,0.0,85790.76,0.0,0.0,0.0,0.0,0.0,multi + rub,76,91,1,133943.68,-427902.3880880001
126,type5,126,3,353581.13,213596.0,277000.0,0.0,844177.13,39829.6,487000.0,26620.53,1490.0,39109.0,49953.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,12,59,0,0.0,-416985.13
130,type5,130,4,320073.67,305579.0,0.0,0.0,625652.67,22824.67,305500.0,275536.36,600.0,13420.0,2392.0,350.0,0.0,230.0,0.0,0.0,0.0,4799.639999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,42,88,1,73491.58,-14494.669999999984
132,type5,132,2,67372.92000000001,20000.0,0.0,0.0,87372.92,6611.95,20000.0,27428.97,0.0,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,23987.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,18,48,0,0.0,-47372.92000000001
134,type5,134,4,118517.67999999996,1181050.0,10000.0,0.0,1309567.6800000004,43590.729999999996,1191050.0,31376.21,0.0,6859.1,90.0,100.0,0.0,1000.0,0.0,2000.0,0.0,28066.949999999997,0.0,0.0,5434.6900000000005,0.0,0.0,0.0,0.0,rub,38,93,1,79982.12,1052532.32
136,type5,136,4,155534.44,156148.0,100.0,0.0,311782.44,86755.74,154350.0,7965.2,0.0,16.0,60499.5,0.0,0.0,0.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,rub,76,83,1,600.0,513.5599999999977
137,type5,137,4,238826.02,344326.0,13000.0,0.0,596152.02,187396.84,348000.0,43472.46,0.0,12888.6,0.0,600.0,765.0,0.0,100.0,0.0,0.0,2929.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,28,91,1,1927.73,92499.98000000001
138,type5,138,4,315255.07000000007,16359.0,120000.0,0.0,451614.07,239319.65000000002,120000.0,80229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12065.419999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,18,90,0,0.0,-418896.07000000007
139,type5,139,3,187749.54,5990.0,0.0,0.0,193739.54,37248.71,0.0,45479.840000000004,17900.0,28156.3,3400.0,1150.0,0.0,1350.0,0.0,0.0,0.0,49908.88999999999,0.0,0.0,9145.8,0.0,0.0,0.0,0.0,rub,26,61,0,0.0,-181759.54
141,type5,141,5,105286.98999999998,613995.0,332681.0,0.0,1051962.99,54618.5,946676.0,18830.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,801.0,30087.49,550.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,49,119,1,57201.11,176027.01
142,type5,142,4,258829.31999999998,925000.0,0.0,0.0,1183829.3199999998,93571.25,925000.0,119821.51999999999,0.0,19688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25748.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,40,90,1,259224.51,666170.68
143,type5,143,4,54274.71999999999,126000.0,42000.0,61576.12,283850.84,8371.18,168000.0,26885.539999999997,0.0,10114.0,8454.0,100.0,0.0,350.0,61576.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,30,92,1,23152.11,29725.280000000013
144,type5,144,4,200931.44999999998,180000.0,0.0,0.0,380931.45,27298.100000000002,181309.0,34225.51,0.0,6203.1,61834.48,0.0,1120.0,0.0,1442.0,0.0,59955.0,3163.26,4381.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,21,91,1,2016.0,-20931.449999999983
148,type4,148,2,1319.5,380000.0,0.0,0.0,381319.5,0.0,380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,4,90,1,243614.55,378680.5
149,type4,149,4,495246.58,384236.0,103000.0,0.0,982482.58,33615.9,483000.0,224022.8,8000.0,152823.0,0.0,4498.650000000001,0.0,22020.0,26476.0,0.0,0.0,26408.23,1618.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,8,74,0,0.0,-214010.58000000007
152,type4,152,2,18802.45058,115000.0,107372.058,0.0,241174.50858,0.0,222372.05800000002,9203.45058,0.0,0.0,4899.0,0.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,7,15,1,660.85,-11174.508580000009
153,type4,153,4,169346.89,260000.0,100000.0,0.0,529346.89,109964.33,360000.0,23848.0,2000.0,0.0,16487.48,1232.0,86.66,1080.0,1429.0,0.0,0.0,13219.419999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,20,92,1,269323.25,-9346.890000000014
154,type4,154,2,138530.72,3599.0,1592500.0,0.0,1734629.72,38545.26000000001,1592500.0,25571.21,0.0,54690.5,0.0,0.0,0.0,0.0,4400.0,4570.0,7230.0,7122.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,15,39,0,0.0,-1727431.72
157,type4,157,4,30378.288640000002,10000.0,99900.0,0.0,140278.28863999998,11419.99,109900.0,10680.37666,2939.63198,2598.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,15,89,1,7960.03,-120278.28864
160,type4,160,4,818887.0032500001,167732.6,1139000.0,0.0,2125619.6032499997,219115.5,1304000.0,36358.53999999999,0.0,494161.57324999996,36614.1,2844.89,0.0,0.0,0.0,0.0,32525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,24,91,1,456241.64,-1790154.40325
162,type4,162,1,2825.27,0.0,795000.0,0.0,797825.27,0.0,795000.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,6,31,0,0.0,-797825.27
163,type4,163,1,165030.05303600006,0.0,0.0,0.0,165030.05303600006,12796.262325,0.0,101056.86602200002,0.0,49899.144959,1277.7797300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi,6,13,1,17251.8,-165030.05303600006
166,type4,166,4,201099.0,0.0,928000.0,0.0,1129099.0,59913.8,928000.0,56523.2,0.0,49836.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,2326.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,13,89,1,1042095.03,-1129099.0
168,type4,168,3,178521.6036200001,60.0,0.0,0.0,178581.6036200001,13855.811615999999,0.0,86061.26507200001,0.0,58815.43180400001,5265.989820000001,120.0,0.0,0.0,0.0,0.0,0.0,1547.91,0.0,12505.255308,0.0,409.94,0.0,0.0,0.0,multi + rub,5,44,0,0.0,-178461.6036200001
169,type4,169,4,164962.72703999997,212445.0,601689.0,0.0,979096.72704,4244.0,813369.0,35215.240000000005,0.0,39307.61704,69085.5,400.0,0.0,3532.0,4059.33,0.0,5400.0,1784.04,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,67,92,1,156134.11,-554206.72704
